City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,hithadhoo,MV,2021-09-13 05:23:57,-0.6,73.0833,83.71,72,69,7.27
130,manggar,ID,2021-09-13 05:23:57,-2.8833,108.2667,83.93,72,91,11.86
131,provideniya,RU,2021-09-13 05:23:58,64.3833,-173.3,41.11,81,90,17.9
132,la cruz,MX,2021-09-13 05:23:58,23.9167,-106.9,80.55,90,9,3.31
133,saskylakh,RU,2021-09-13 05:23:58,71.9167,114.0833,53.55,50,100,6.67
134,bethel,US,2021-09-13 05:23:46,41.3712,-73.414,75.65,81,1,8.05
135,samoded,RU,2021-09-13 05:23:59,63.6083,40.5111,41.76,77,100,7.74
136,trapani,IT,2021-09-13 05:23:59,37.8333,12.6667,70.27,100,20,4.61
137,port hedland,AU,2021-09-13 05:19:22,-20.3167,118.5667,84.25,24,49,13.8
138,rundu,NA,2021-09-13 05:23:59,-17.9333,19.7667,58.01,31,0,4.36
139,maniitsoq,GL,2021-09-13 05:24:00,65.4167,-52.9,34.12,66,14,9.89
140,hilo,US,2021-09-13 05:22:56,19.7297,-155.09,78.53,78,75,4.61
141,veinticinco de mayo,AR,2021-09-13 05:24:00,-35.4323,-60.1727,56.05,92,0,8.48
142,rath,IN,2021-09-13 05:24:01,25.5833,79.5667,89.83,61,42,9.6
143,kaeo,NZ,2021-09-13 05:24:01,-35.1,173.7833,61.32,71,41,12.35
144,sitka,US,2021-09-13 05:24:01,57.0531,-135.33,55.29,76,90,4.61
145,khiv,RU,2021-09-13 05:24:02,41.7543,47.9306,65.89,69,4,3.71
146,sept-iles,CA,2021-09-13 05:24:02,50.2001,-66.3821,55.06,86,20,7.0
147,leningradskiy,RU,2021-09-13 05:24:02,69.3833,178.4167,29.3,93,100,4.5
148,hofn,IS,2021-09-13 05:24:03,64.2539,-15.2082,50.92,94,100,23.87
149,busselton,AU,2021-09-13 05:24:03,-33.65,115.3333,65.05,61,25,5.37
150,fairview,US,2021-09-13 05:24:03,40.8126,-73.999,77.22,71,90,8.05
151,peterhead,GB,2021-09-13 05:24:04,57.5058,-1.7981,50.11,71,52,4.05
152,flora,US,2021-09-13 05:24:04,38.6689,-88.4856,72.25,89,1,6.91
153,jalu,LY,2021-09-13 05:24:04,29.0331,21.5482,75.85,73,1,5.3
